id,codigo_taco,grupo,descricao,umidade,energia_kcal,energia_kj,proteina_g,lipideos_g,colesterol_mg,carboidratos_g,fibra_alimentar_g,cinzas_g,observacao,fonte,created_at,updated_at
1,1,CEREAIS_E_DERIVADOS,"Arroz, integral, cozido",70.14,123.53,516.87,2.59,1.00,0.00,25.81,2.75,0.46,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:50:14"
2,2,CEREAIS_E_DERIVADOS,"Arroz, integral, cru",12.18,359.68,1504.89,7.32,1.86,0.00,77.45,4.82,1.18,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:50:14"
3,3,CEREAIS_E_DERIVADOS,"Arroz, tipo 1, cozido",69.11,128.26,536.63,2.52,0.23,0.00,28.06,1.56,0.08,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:50:14"
4,4,CEREAIS_E_DERIVADOS,"Arroz, tipo 1, cru",13.22,357.79,1496.99,7.16,0.34,0.00,78.76,1.64,0.52,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:50:14"
5,5,CEREAIS_E_DERIVADOS,"Arroz, tipo 2, cozido",68.73,130.12,544.42,2.57,0.36,0.00,28.19,1.07,0.15,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:50:14"
6,6,CEREAIS_E_DERIVADOS,"Arroz, tipo 2, cru",13.16,358.12,1498.36,7.24,0.28,0.00,78.88,1.72,0.44,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:50:14"
7,7,CEREAIS_E_DERIVADOS,"Aveia, flocos, crua",9.13,393.82,1647.75,13.92,8.50,0.00,66.64,9.13,1.81,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:50:14"
8,8,CEREAIS_E_DERIVADOS,"Biscoito, doce, maise0",3.22,442.82,1852.76,8.07,11.97,0.00,75.23,2.10,1.51,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:50:14"
9,9,CEREAIS_E_DERIVADOS,"Biscoito, doce, recheado com chocolate",2.18,471.82,1974.11,6.40,19.58,0.00,70.55,2.96,1.29,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:50:14"
10,10,CEREAIS_E_DERIVADOS,"Biscoito, doce, recheado com morango",2.73,471.17,1971.40,5.72,19.57,0.00,71.01,1.53,0.96,NULL,"TACO 4ª edição","2026-01-30 22:41:52","2026-03-07 05:50:14"
